"initial_github","2009/01/24"
"v0.0.1","2009/01/26"
"v0.1.1","2009/01/26"
"v0.1.2","2009/01/27"
"v0.1.3","2009/01/28"
"v0.1.4","2009/02/03"
"0.1.5","2009/02/16"
"v0.1.6","2009/03/10"
"v0.1.7","2009/03/11"
"v0.1.8","2009/04/02"
"v0.2.0","2009/05/13"
"v0.2.1","2009/05/21"
"v0.3","2009/07/06"
"v0.3.1","2009/07/06"
"v0.3.2","2009/07/08"
"v0.3.3","2009/07/15"
"v0.4","2009/07/16"
"v0.4.1","2009/08/25"
"v0.6","2009/09/24"
"v0.9","2009/10/03"
"v0.9.1","2009/10/06"
"v0.9.2","2009/10/18"
"v0.9.3","2009/11/02"
"v0.9.4","2009/11/03"
"v0.9.5","2009/11/16"
"v0.9.6","2009/11/26"
"v0.9.7","2009/12/02"
"v1.0","2009/12/19"
"v1.0.1","2009/12/27"
"v1.0.2","2010/01/13"
"v1.0.3","2010/02/12"
"v1.0.4","2010/02/12"
"v1.0.5","2010/02/27"
"v1.0.5.1","2010/02/27"
"v1.0.6","2010/03/17"
"v1.4-beta1","2010/06/05"
"v1.5","2010/06/08"
"v1.5.1","2010/06/08"
"v1.5.2","2010/06/09"
"v1.5.3","2010/06/10"
"v1.5.4","2010/06/15"
"v1.5.5","2010/06/26"
"v1.5.6","2010/07/01"
"v1.5.7","2010/07/04"
"v1.5.8","2010/07/22"
"v1.5.9","2010/07/23"
"v1.6","2010/08/13"
"v1.6.1","2010/08/15"
"v1.6.2","2010/08/15"
"v1.6.3","2010/09/08"
"v1.7","2010/09/21"
"v1.7.1","2010/09/22"
"v1.7.2","2010/09/23"
"v1.8","2010/10/01"
"v1.8.1","2010/10/02"
"v1.8.2","2010/10/24"
"v1.8.3","2010/10/24"
"v1.8.4","2010/10/25"
"v1.8.5","2010/11/11"
"v1.8.5.1","2010/11/15"
"v1.8.6","2010/11/29"
"v1.8.6.0.1","2010/12/08"
"v1.8.6.2","2010/12/10"
"v1.8.6.3","2010/12/11"
"v1.8.6.4","2010/12/13"
"v1.9","2011/02/02"
"v1.9.1","2011/02/02"
"v1.9.1-2","2011/02/02"
"v1.9.2","2011/04/10"
"v1.9.3","2011/06/28"
"v1.9.3.1","2011/06/28"
"v1.9.4","2011/07/19"
"v1.9.5","2011/07/21"
"v1.9.6","2011/12/21"
"v1.9.7","2012/01/17"
"v1.9.8","2012/01/23"
"v1.9.9","2012/02/18"
"v1.9.10","2012/07/29"
"v1.9.11","2012/07/29"
"v1.9.12","2012/07/30"
"v1.9.12.1","2012/07/30"
"v1.9.13","2012/08/01"
"v1.9.14","2012/08/02"
"v1.9.15","2012/09/10"
"v1.9.16","2012/09/10"
"v1.9.17","2012/09/12"
"v1.9.18","2012/09/12"
"v1.9.18.1","2012/09/13"
"v1.9.18.2","2012/09/15"
"v1.9.18.3","2012/09/23"
"v1.98","2013/01/27"
"v1.98.1","2013/01/27"
"v1.98.2","2013/01/28"
"v1.98.3","2013/02/01"
"v1.99.0","2013/02/12"
"v1.99.1","2013/02/12"
"v1.99.2","2013/02/13"
"v1.99.3","2013/02/23"
"v1.99.4","2013/02/27"
"v1.99.5","2013/03/27"
"v1.99.6","2013/04/16"
"v1.99.7","2013/05/04"
"v1.99.7.1","2013/05/05"
"v1.99.7.2","2013/05/05"
"v1.99.8","2013/08/18"
"v1.99.9","2013/08/29"
"1.99.10","2013/09/15"
"v1.99.11","2014/03/23"
"v1.99.10","2014/11/22"
"v2.0","2014/11/22"
"v2.0.1","2015/04/12"
"v2.0.2","2015/04/12"
"v2.0.3","2015/04/20"
"v2.0.4beta1","2015/12/09"
"v2.0.4","2015/12/25"
"v2.0.5beta1","2016/03/03"
"v2.0.5beta2","2016/03/06"
"v2.0.5","2016/03/07"
"v2.0.5beta3","2016/03/08"
"2.0.5beta4","2016/03/13"
"v2.0.5beta5","2016/03/14"
"v2.0.5beta6","2016/03/15"
"v2.0.6","2016/03/16"
"v2.0.6.1","2016/03/18"
"Latest","2016/05/24"
